region_id,latitude,longitude,population,confirmed_cases,fatalities,CFR
R0001,19.4734,72.7671,1477388,76685,3271.0,0.042655017278476884
R0002,18.8887,74.1411,90139,7021,369.0,0.052556615866685655
R0003,18.7004,73.3117,404558,9239,438.0,0.047407728109102716
R0004,17.5454,71.4978,1243113,24569,967.0,0.03935854125117017
R0005,18.3496,71.7479,939336,61021,2787.0,0.045672801166811425
R0006,17.9362,72.4422,1234712,27085,,
R0007,18.5955,72.6443,1384254,56492,2534.0,0.044855908801246194
R0008,18.2298,73.5357,657836,30526,,
R0009,18.0135,73.0352,1940690,124707,6532.0,0.05237877585059379
R0010,19.2131,72.7852,807920,23425,,
R0011,18.7075,73.7234,597822,28688,1383.0,0.04820831009481316
R0012,18.7679,72.3362,60768,4076,208.0,0.05103042198233562
R0013,19.9008,73.6227,1553977,23594,863.0,0.03657709587183182
R0014,18.8286,73.1427,695251,10045,550.0,0.0547536087605774
R0015,18.1909,71.9207,1472732,80453,3562.0,0.0442742967944017
R0016,19.8788,73.167,1533530,75586,2913.0,0.03853888286190564
R0017,19.0473,74.1294,1069329,42696,1958.0,0.045859096870901256
R0018,18.8368,72.9511,1819754,49953,,
R0019,20.2583,72.4631,496156,7635,281.0,0.036804191224623445
R0020,18.6746,73.61,1617160,37291,1800.0,0.04826901933442385
R0021,19.1537,73.6526,1624508,118144,4487.0,0.037979076381365114
R0022,18.8139,72.564,1645128,115572,3509.0,0.030362025404077113
R0023,19.0801,72.69,863951,22071,917.0,0.04154773231842689
R0024,18.4342,72.7487,1061641,62861,3082.0,0.049028809595774804
R0025,19.282,72.8181,1926772,53226,,
R0026,19.0548,72.9259,150383,4437,308.0,0.06941627225602885
R0027,18.9221,73.1189,332545,14719,830.0,0.05638970038725457
R0028,19.6775,73.5105,767177,41628,1494.0,0.03588930527529548
R0029,19.5455,74.6301,226065,15478,543.0,0.0350820519446957
R0030,18.623,72.9574,1371250,15304,611.0,0.039924202822791424
R0031,17.8355,72.9326,1308086,29046,1040.0,0.03580527439234318
R0032,20.3159,72.2511,1853152,132340,5529.0,0.04177875170016624
R0033,19.7268,71.893,1643583,80312,2323.0,0.028924693694591094
R0034,19.2237,73.0856,711108,24493,,
R0035,19.4936,73.1153,1779818,114960,4391.0,0.03819589422407794
R0036,19.2618,73.1122,59870,1272,48.0,0.03773584905660377
R0037,20.5686,73.2568,1321324,33956,1197.0,0.03525150194369184
R0038,19.7057,73.8046,1316784,91444,3364.0,0.03678754210227024
R0039,19.7336,74.3951,232665,8315,300.0,0.03607937462417318
R0040,18.4234,72.816,1789490,96954,4693.0,0.04840439796192009
R0041,19.0864,74.0405,1174962,52257,2678.0,0.05124672292707197
R0042,18.3903,72.021,1883894,144635,7206.0,0.049821965637639576
R0043,18.8972,73.4489,80140,6009,,
R0044,19.0177,72.2003,1709716,55026,1642.0,0.029840439065169193
R0045,19.2473,71.8811,1875501,110133,3982.0,0.03615628376599203
R0046,19.199,72.9243,1760877,108916,,
R0047,19.9424,73.7207,751007,22944,,
R0048,19.487,73.2897,1606675,89166,7447.0,0.08351838144584259
R0049,19.8392,73.3988,1785510,60099,2239.0,0.03725519559393667
R0050,18.8865,72.4894,957916,45965,2106.0,0.045817469813988904
R0051,29.2531,75.8123,109475,1380,34.0,0.02463768115942029
R0052,29.5753,77.1539,1551487,38953,748.0,0.019202628809077606
R0053,28.1198,77.2757,150779,7115,365.0,0.05130007027406887
R0054,29.2112,75.4824,1600613,46350,1476.0,0.031844660194174756
R0055,28.0701,77.0107,99433,7694,269.0,0.03496230829217572
R0056,29.3967,76.1423,355052,9769,260.0,0.02661480192445491
R0057,30.1165,77.4265,1337384,39580,2027.0,0.05121273370389085
R0058,29.5301,75.887,744146,46917,,
R0059,29.0592,77.7222,974638,16421,16.0,0.0009743620973144144
R0060,27.8846,76.9004,827084,43926,769.0,0.01750671584027683
R0061,28.3521,77.2071,780494,41998,,
R0062,28.7123,76.3173,187609,10312,357.0,0.03461986035686579
R0063,28.7599,76.7942,1883448,94705,4343.0,0.045858191225384086
R0064,27.7138,78.8089,1885856,69827,731.0,0.010468729860942043
R0065,28.9289,76.6043,188817,6104,147.0,0.02408256880733945
R0066,29.3838,77.3881,1276438,91167,2103.0,0.023067557339826912
R0067,29.3544,77.6062,599967,13451,504.0,0.0374693331350829
R0068,29.1924,77.0858,775435,49898,1555.0,0.03116357369032827
R0069,29.1418,76.9407,1723904,69007,2639.0,0.03824249713797151
R0070,29.3549,78.1469,674096,48997,1480.0,0.03020593097536584
R0071,28.9634,76.9984,1903683,95451,2082.0,0.02181223874029607
R0072,30.378,76.2977,1361410,85314,1523.0,0.017851700775957054
R0073,29.2034,77.6052,227851,10164,312.0,0.030696576151121605
R0074,28.1624,77.8826,734284,13360,,
R0075,29.0344,76.6515,1255525,21442,695.0,0.032413021173398004
R0076,28.2985,76.7257,215433,17033,550.0,0.03229026008336758
R0077,27.5456,75.9765,1634959,124759,,
R0078,28.5333,77.3512,877232,64428,,
R0079,28.6889,76.3005,72139,3087,,
R0080,28.0423,77.518,1926236,69808,3164.0,0.04532431812972725
R0081,29.2562,76.7815,486011,37629,1213.0,0.032235775598607457
