region_id,latitude,longitude,population,confirmed_cases,fatalities,CFR,cluster
R0001,19.4734,72.7671,1477388,76685,3271,0.0426550172784768,1
R0002,18.8887,74.1411,90139,7021,369,0.0525566158666856,3
R0003,18.7004,73.3117,404558,9239,438,0.0474077281091027,3
R0004,17.5454,71.4978,1243113,24569,967,0.0393585412511701,3
R0005,18.3496,71.7479,939336,61021,2787,0.0456728011668114,3
R0006,17.9362,72.4422,1234712,27085,1009,0.0372530921174081,3
R0007,18.5955,72.6443,1384254,56492,2534,0.0448559088012461,3
R0008,18.2298,73.5357,657836,30526,1258,0.0412107711459084,3
R0009,18.0135,73.0352,1940690,124707,6532,0.0523787758505937,1
R0010,19.2131,72.7852,807920,23425,920,0.039274279615795,3
R0011,18.7075,73.7234,597822,28688,1383,0.0482083100948131,3
R0012,18.7679,72.3362,60768,4076,208,0.0510304219823356,3
R0013,19.9008,73.6227,1553977,23594,863,0.0365770958718318,3
R0014,18.8286,73.1427,695251,10045,550,0.0547536087605774,3
R0015,18.1909,71.9207,1472732,80453,3562,0.0442742967944017,1
R0016,19.8788,73.167,1533530,75586,2913,0.0385388828619056,1
R0017,19.0473,74.1294,1069329,42696,1958,0.0458590968709012,3
R0018,18.8368,72.9511,1819754,49953,2125,0.042539987588333,3
R0019,20.2583,72.4631,496156,7635,281,0.0368041912246234,3
R0020,18.6746,73.61,1617160,37291,1800,0.0482690193344238,3
R0021,19.1537,73.6526,1624508,118144,4487,0.0379790763813651,1
R0022,18.8139,72.564,1645128,115572,3509,0.0303620254040771,1
R0023,19.0801,72.69,863951,22071,917,0.0415477323184268,3
R0024,18.4342,72.7487,1061641,62861,3082,0.0490288095957748,3
R0025,19.282,72.8181,1926772,53226,2192,0.041182880547101,3
R0026,19.0548,72.9259,150383,4437,308,0.0694162722560288,3
R0027,18.9221,73.1189,332545,14719,830,0.0563897003872545,3
R0028,19.6775,73.5105,767177,41628,1494,0.0358893052752954,3
R0029,19.5455,74.6301,226065,15478,543,0.0350820519446957,3
R0030,18.623,72.9574,1371250,15304,611,0.0399242028227914,3
R0031,17.8355,72.9326,1308086,29046,1040,0.0358052743923431,3
R0032,20.3159,72.2511,1853152,132340,5529,0.0417787517001662,1
R0033,19.7268,71.893,1643583,80312,2323,0.028924693694591,1
